M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Week,Season,Season_Label,Total_Sales
40.18,24.825,30.4,189.7,45.0,2.0,40.0,19.0,2015,4,15,Summer,2,391.105
41.65,22.868,32.0,224.3,42.0,0.0,19.0,26.0,2015,4,16,Summer,2,407.818
36.66,21.835,24.9,239.1,46.0,0.0,6.0,24.0,2015,4,17,Summer,2,398.495
29.34,21.013,23.94,196.8,40.0,2.0,20.0,41.7,2015,5,18,Summer,2,374.793
22.0,34.129,30.8,166.2,48.0,3.0,26.0,38.8,2015,5,19,Summer,2,368.92900000000003
35.0,31.083,39.5,198.35,34.0,0.0,12.0,36.7,2015,5,20,Summer,2,386.633
35.68,23.452,23.2,126.85,54.0,2.0,10.0,29.8,2015,5,21,Summer,2,304.982
50.33,24.047,32.5,196.1,44.0,3.0,51.0,38.5,2015,5,22,Summer,2,439.477
35.34,28.02,27.7,143.55,54.0,5.0,53.0,28.0,2015,6,23,Rainy,1,374.61
28.34,24.99,30.5,167.476,55.0,3.0,26.0,27.6,2015,6,24,Rainy,1,362.906
41.67,23.04,35.76,174.4,52.0,3.0,83.0,34.9,2015,6,25,Rainy,1,447.77
39.84,29.31,41.5,172.987,29.0,1.0,18.0,28.0,2015,6,26,Rainy,1,359.637
36.36,27.02,28.3,152.1,66.0,1.0,35.0,30.3,2015,7,27,Rainy,1,376.08
30.51,26.38,24.2,198.25,52.0,0.0,21.0,40.5,2015,7,28,Rainy,1,392.84000000000003
38.71,20.37,23.0,142.75,26.0,3.0,7.0,26.3,2015,7,29,Rainy,1,287.13
36.35,23.34,27.8,171.85,44.0,2.0,7.0,25.0,2015,7,30,Rainy,1,337.34
50.36,36.73,40.2,134.878,65.0,0.0,3.0,19.5,2015,8,31,Rainy,1,349.668
33.83,22.65,31.7,168.2,42.0,4.0,11.0,17.7,2015,8,32,Rainy,1,331.08
41.01,37.703,33.6,169.688,64.0,3.0,7.0,20.0,2015,8,33,Rainy,1,376.001
41.17,24.746,29.0,194.0,65.0,5.0,10.0,18.0,2015,8,34,Rainy,1,386.916
51.68,38.38,27.7,186.9,62.0,3.0,11.0,22.0,2015,8,35,Rainy,1,402.66
39.35,41.22,25.3,180.15,66.5,3.0,22.0,21.0,2015,9,36,Rainy,1,398.52
38.33,33.632,34.1,236.2,56.0,4.0,24.0,17.0,2015,9,37,Rainy,1,443.26199999999994
38.67,27.551,23.9,189.1,56.5,0.0,17.0,18.0,2015,9,38,Rainy,1,370.721
41.22,31.036,23.5,207.075,50.0,4.0,17.0,14.0,2015,9,39,Rainy,1,387.831
44.65,30.079,22.0,245.662,41.0,0.0,50.0,10.0,2015,10,40,Autumn,0,443.391
45.33,24.244,34.4,333.337,73.5,4.0,51.0,18.0,2015,10,41,Autumn,0,583.8109999999999
42.66,40.093,35.9,423.174,41.5,1.0,32.0,16.0,2015,10,42,Autumn,0,632.327
48.17,21.835,30.9,352.762,42.0,1.0,40.0,19.0,2015,10,43,Autumn,0,555.667
29.98,28.993,35.6,377.4,59.0,2.0,33.0,12.0,2015,11,44,Autumn,0,577.973
32.49,28.097,34.7,342.875,60.0,6.0,33.0,10.0,2015,11,45,Autumn,0,547.162
36.97,38.11,42.4,249.3,52.0,4.0,70.0,7.0,2015,11,46,Autumn,0,499.78
32.01,23.792,29.9,273.5,55.0,4.0,32.0,13.0,2015,11,47,Autumn,0,463.202
31.65,28.419,28.3,253.6,45.0,3.0,19.0,11.0,2015,11,48,Autumn,0,419.969
31.32,24.97,29.4,278.25,54.0,12.0,25.0,9.33,2015,12,49,Winter,3,464.27
41.51,36.286,40.2,234.887,58.0,3.0,72.0,11.1,2015,12,50,Winter,3,496.983
32.99,24.385,25.1,216.6,47.0,6.0,52.0,6.0,2015,12,51,Winter,3,410.075
31.98,26.858,26.5,330.062,75.0,5.0,50.0,11.3,2015,12,52,Winter,3,556.6999999999999
33.33,25.637,24.3,341.15,58.0,4.0,48.0,13.0,2016,1,53,Winter,3,547.4169999999999
41.65,25.136,41.3,342.2,48.0,4.0,35.0,9.0,2016,1,1,Winter,3,546.2860000000001
51.67,27.211,50.5,365.25,82.0,0.0,21.0,12.0,2016,1,2,Winter,3,609.631
27.98,33.375,39.7,320.5,65.0,9.0,46.0,17.0,2016,1,3,Winter,3,558.5550000000001
46.01,37.66,37.5,341.074,52.0,10.0,62.0,12.5,2016,1,4,Winter,3,598.744
51.66,38.957,34.6,321.824,39.0,5.0,37.0,10.0,2016,2,5,Winter,3,538.0409999999999
33.83,36.618,37.1,294.613,71.0,3.0,78.0,16.0,2016,2,6,Winter,3,570.1610000000001
38.67,23.442,24.6,272.95,52.0,7.0,60.0,12.0,2016,2,7,Winter,3,490.662
42.65,30.851,33.9,289.275,64.0,5.0,67.0,19.0,2016,2,8,Winter,3,551.6759999999999
38.16,38.082,33.8,298.8,55.0,4.0,28.0,19.0,2016,3,9,Summer,2,514.842
28.83,44.87,25.1,255.7,41.0,2.0,62.0,12.34,2016,3,10,Summer,2,471.84
42.64,48.752,32.9,244.662,67.0,3.0,81.0,26.0,2016,3,11,Summer,2,545.954
35.5,26.515,45.4,283.488,72.0,4.0,52.0,26.0,2016,3,12,Summer,2,544.903
38.18,27.436,30.2,270.45,41.0,0.0,74.0,44.4,2016,4,13,Summer,2,525.6659999999999
47.66,41.244,28.25,200.65,35.0,6.0,60.0,40.6,2016,4,14,Summer,2,459.404
27.66,32.917,31.5,255.225,80.33333333,3.0,50.0,39.9,2016,4,15,Summer,2,520.5353333300001
32.98,26.154,36.2,177.15,54.0,8.0,40.0,26.8,2016,4,16,Summer,2,401.28400000000005
38.64,33.805,36.75,209.112,109.6666667,1.0,25.0,26.2,2016,5,17,Summer,2,480.1736667
35.32,35.0,21.0,257.5,54.0,4.0,9.0,32.0,2016,5,18,Summer,2,447.82
34.34,31.64,33.75,220.9,56.0,1.0,35.0,20.5,2016,5,19,Summer,2,433.13
28.68,27.962,33.6,240.0,61.0,3.0,46.0,34.2,2016,5,20,Summer,2,474.44199999999995
59.68,19.906,34.6,228.35,78.0,10.0,21.0,40.4,2016,5,21,Summer,2,491.936
41.67,22.859,22.25,154.05,50.0,3.0,35.0,31.0,2016,6,22,Rainy,1,359.829
55.99,26.003,25.0,228.962,58.0,3.0,36.0,38.2,2016,6,23,Rainy,1,471.155
28.67,30.571,28.25,185.4,60.0,2.0,42.0,37.0,2016,6,24,Rainy,1,413.891
34.35,25.572,32.65,163.038,71.0,0.0,22.0,25.6,2016,6,25,Rainy,1,374.21000000000004
33.66,27.616,34.1,147.0,61.5,12.0,45.0,28.0,2016,7,26,Rainy,1,388.876
41.34,41.462,27.05,152.0,64.0,5.0,15.0,24.3,2016,7,27,Rainy,1,370.152
41.89833333,32.483,25.0,150.262,50.0,0.0,21.0,32.53,2016,7,28,Rainy,1,353.17333333
39.65,25.947,38.3,147.6,42.0,0.0,10.0,22.0,2016,7,29,Rainy,1,325.49699999999996
56.31,29.82,30.65,134.5,70.0,3.0,30.0,23.0,2016,7,30,Rainy,1,377.28
53.99,25.306,32.4,162.6,111.5,1.0,62.0,20.3,2016,8,31,Rainy,1,469.096
53.34,34.554,35.1,170.9166667,84.0,5.0,13.0,19.0,2016,8,32,Rainy,1,414.9106667
43.98,23.31,27.0,162.75,45.0,4.0,17.0,22.5,2016,8,33,Rainy,1,345.53999999999996
40.16,23.388,29.2,143.8166667,24.0,2.0,21.0,17.2,2016,8,34,Rainy,1,300.7646667
47.66,23.918,25.5,172.8,53.0,0.0,16.0,20.3,2016,9,35,Rainy,1,359.17800000000005
32.63,33.196,30.35,255.024,72.0,8.0,26.0,20.0,2016,9,36,Rainy,1,477.2
37.66,34.522,20.9,225.15,93.0,0.0,37.0,12.1,2016,9,37,Rainy,1,460.332
33.67,27.927,25.5,264.225,67.0,5.0,29.0,11.0,2016,9,38,Rainy,1,463.322
65.33,26.178,34.35,382.338,44.0,5.0,38.0,17.2,2016,10,39,Autumn,0,612.3960000000001
36.35,31.957,35.5,418.187,30.0,2.0,46.0,13.5,2016,10,40,Autumn,0,613.494
41.65,29.267,38.2,347.35,134.8333333,3.0,59.0,13.3,2016,10,41,Autumn,0,666.6003333
38.96,34.651,32.8,293.8166667,41.0,3.0,47.0,15.1,2016,10,42,Autumn,0,506.3276667
42.81,30.655,39.75,346.0,68.0,3.0,29.0,9.0,2016,10,43,Autumn,0,568.215
34.98666667,21.959,26.5,256.55,54.0,3.0,42.0,23.2,2016,11,44,Autumn,0,462.19566667
46.33,33.97,37.3,260.8,67.16666667,4.0,36.0,10.6,2016,11,45,Autumn,0,496.16666667
37.66,22.319,32.75,252.812,50.0,9.0,22.0,10.4,2016,11,46,Autumn,0,436.941
37.02,32.399,30.95,243.124,45.0,9.0,48.0,12.0,2016,11,47,Autumn,0,457.493
34.18,25.265,19.95,302.162,52.0,2.0,55.0,4.2,2016,12,48,Winter,3,494.75699999999995
41.85,23.892,37.75,275.424,37.0,4.0,71.0,11.0,2016,12,49,Winter,3,501.916
35.14,27.539,25.4,303.525,88.33333333,6.0,88.0,9.2,2016,12,50,Winter,3,583.13733333
26.0,29.634,19.1,315.2,28.0,3.0,31.0,6.5,2016,12,51,Winter,3,458.43399999999997
49.20375,42.70525,31.52916667,546.899,53.75,6.875,55.25,4.625,2017,1,52,Winter,3,790.83716667
33.6875,30.3825,33.54166667,343.35,62.91666667,3.958333333,47.65625,14.58333333,2017,1,1,Winter,3,570.0762500029999
48.74583333,34.27541667,60.125,368.4791667,120.0,5.416666667,31.66666667,12.16666667,2017,1,2,Winter,3,680.875416707
39.45416667,30.46041667,41.5,320.5833333,115.8333333,9.583333333,45.41666667,15.83333333,2017,1,3,Winter,3,618.6645832730001
43.97083333,42.04583333,44.70833333,298.505,105.8333333,8.333333333,55.41666667,12.70833333,2017,1,4,Winter,3,611.5216666230001
54.1575,42.41791667,40.70833333,265.8933333,79.33333333,9.166666667,44.33333333,14.43333333,2017,2,5,Winter,3,550.443749957
47.3225,29.09,33.55,146.2,39.0,3.0,27.0,9.0,2017,2,6,Winter,3,334.16249999999997
27.33,22.648,11.75,128.05,18.0,0.0,18.0,10.3,2017,2,7,Winter,3,236.07800000000003
32.67,32.354,32.2,170.7,49.875,2.0,36.0,8.2,2017,2,8,Winter,3,363.99899999999997
46.35,31.48,34.6,134.7,53.0,4.0,48.0,19.5,2017,3,9,Summer,2,371.63
37.51,27.736,26.2,171.1,31.0,7.0,20.0,17.0,2017,3,10,Summer,2,337.546
33.99,18.654,19.2,146.1,35.0,0.0,25.0,11.0,2017,3,11,Summer,2,288.944
36.83,29.719,18.85,122.0,36.0,0.0,31.0,32.1,2017,3,12,Summer,2,306.499
28.18,18.389,29.0,138.4,39.0,0.0,20.0,37.9,2017,4,13,Summer,2,310.86899999999997
32.66,21.023,23.4,119.1,34.0,3.0,47.0,22.5,2017,4,14,Summer,2,302.683
48.66,15.904,18.4,126.65,21.0,2.0,58.0,23.2,2017,4,15,Summer,2,313.814
32.3,26.812,27.0,130.7,38.0,2.0,17.875,16.0,2017,4,16,Summer,2,290.687
32.99,31.253,25.7,106.75,33.0,2.0,48.0,45.3,2017,4,17,Summer,2,324.993
25.34,27.396,19.05,92.85,30.0,0.0,44.0,25.1,2017,5,18,Summer,2,263.736
38.98,23.892,31.95,109.9,36.0,14.0,24.0,40.7,2017,5,19,Summer,2,319.42199999999997
31.67,31.409,11.2,150.6,32.0,3.0,27.0,39.0,2017,5,20,Summer,2,325.879
32.33,25.58,23.85,129.39,37.0,0.0,23.0,42.01,2017,5,21,Summer,2,313.15999999999997
31.01,20.991,24.15,137.4,38.0,9.0,44.0,26.0,2017,6,22,Rainy,1,330.55100000000004
30.49,30.596,27.25,122.95,37.0,0.0,37.0,38.7,2017,6,23,Rainy,1,323.986
21.66,30.099,14.25,96.45,40.0,3.0,40.0,44.37,2017,6,24,Rainy,1,289.829
28.16,14.98,22.1,128.0,31.0,2.0,23.0,34.83,2017,6,25,Rainy,1,284.07
34.68,22.198,27.75,95.5,41.0,0.0,39.0,31.0,2017,7,26,Rainy,1,291.128
35.49,24.249,22.1,110.6,63.0,1.0,37.0,20.0,2017,7,27,Rainy,1,313.43899999999996
27.67,36.152,14.15,111.0,41.0,5.0,25.0,13.0,2017,7,28,Rainy,1,272.972
41.83,27.196,21.5,117.0,43.0,8.0,31.0,25.0,2017,7,29,Rainy,1,314.526
29.635,21.789,12.2,100.75,52.0,1.0,7.0,13.1,2017,7,30,Rainy,1,237.47400000000002
41.66,17.361,13.25,112.912,41.0,2.0,13.0,17.0,2017,8,31,Rainy,1,258.183
20.01,26.372,22.0,103.788,66.0,5.0,12.0,10.5,2017,8,32,Rainy,1,265.67
35.82,24.529,24.15,115.85,56.0,0.0,20.0,14.5,2017,8,33,Rainy,1,290.849
40.65,27.929,12.55,170.75,60.0,2.0,23.0,12.0,2017,8,34,Rainy,1,348.879
55.86,27.681,27.7,124.4,48.0,3.0,16.0,14.1,2017,9,35,Rainy,1,316.74100000000004
38.17,32.36,24.8,182.7,44.0,1.0,8.0,21.5,2017,9,36,Rainy,1,352.53
27.0,24.063,24.65,152.95,73.0,3.0,30.0,18.4,2017,9,37,Rainy,1,353.063
39.98,30.489,11.1,219.75,48.0,7.0,19.0,18.0,2017,9,38,Rainy,1,393.31899999999996
20.67,27.098,17.6,323.05,42.0,13.0,98.0,4.0,2017,10,39,Autumn,0,545.418
32.66,22.364,23.5,305.15,48.0,4.0,49.0,12.0,2017,10,40,Autumn,0,496.674
33.67,17.809,14.5,222.6,41.0,3.0,52.0,13.5,2017,10,41,Autumn,0,398.079
29.5,22.792,23.0,268.9,73.0,5.0,44.0,10.0,2017,10,42,Autumn,0,476.192
31.98,14.858,30.4,244.8,48.0,2.0,73.0,12.5,2017,10,43,Autumn,0,457.538
29.5,31.459,21.05,221.75,35.0,3.0,35.0,12.2,2017,11,44,Autumn,0,388.959
40.52,25.356,27.45,184.2,44.0,3.0,51.0,8.5,2017,11,45,Autumn,0,384.026
35.32,28.181,22.9,191.1,40.0,3.0,69.0,8.9,2017,11,46,Autumn,0,398.40099999999995
45.99,31.004,20.5,203.624,64.0,3.0,21.0,7.0,2017,11,47,Autumn,0,396.118
38.34,26.156,27.55,218.825,35.0,3.0,40.0,17.5,2017,12,48,Winter,3,406.371
27.01,20.066,29.5,215.6,50.0,1.0,64.0,13.0,2017,12,49,Winter,3,420.176
38.51,28.746,24.4,240.0,53.0,2.0,34.0,12.0,2017,12,50,Winter,3,432.656
24.33,21.46,22.6,168.7,38.0,0.0,32.0,5.6,2017,12,51,Winter,3,312.69
50.17,34.038,29.65,302.08,68.0,3.0,63.0,11.0,2017,12,52,Winter,3,560.938
28.33,17.311,11.45,230.2,31.0,0.0,39.0,16.0,2018,1,1,Winter,3,373.291
34.48,30.345,28.1,255.525,52.0,6.0,44.0,6.0,2018,1,2,Winter,3,456.45
36.65,19.624,22.5,226.8,49.0,2.0,75.0,9.5,2018,1,3,Winter,3,441.074
25.83,28.967,27.85,306.5,64.0,0.0,47.0,13.0,2018,1,4,Winter,3,513.1469999999999
26.98,38.715,26.55,318.1,64.0,3.0,34.0,17.4,2018,2,5,Winter,3,528.745
42.18,28.725,31.6,366.95,76.0,0.0,71.25,6.66,2018,2,6,Winter,3,623.3649999999999
31.51,43.618,28.7,338.562,62.0,1.0,48.0,6.0,2018,2,7,Winter,3,559.39
29.35,29.305,28.55,229.1,49.0,0.0,70.0,11.0,2018,2,8,Winter,3,446.305
19.33,20.772,33.2,256.549,115.0,16.0,68.0,14.5,2018,3,9,Summer,2,543.351
36.65,29.928,33.75,223.9,91.0,17.0,68.0,16.4,2018,3,10,Summer,2,516.628
31.33,21.538,19.65,207.8,77.0,2.0,61.0,24.0,2018,3,11,Summer,2,444.318
28.01,20.736,25.9,241.112,50.0,3.0,58.0,17.5,2018,3,12,Summer,2,444.258
43.0,27.77,20.3,224.724,117.0,16.0,51.0,21.1,2018,4,13,Summer,2,520.894
38.85,23.301,22.9,209.525,83.0,7.0,60.0,36.5,2018,4,14,Summer,2,481.076
38.83,22.308,23.5,175.7,64.0,3.0,52.0,53.5,2018,4,15,Summer,2,432.83799999999997
29.84,26.671,10.15,211.025,51.0,0.0,28.0,38.7,2018,4,16,Summer,2,395.386
50.67,25.443,25.05,155.912,60.0,3.0,66.0,56.4,2018,4,17,Summer,2,442.47499999999997
29.01,28.895,18.25,136.737,53.0,0.0,26.0,65.0,2018,5,18,Summer,2,356.892
53.82,24.282,25.15,160.8,66.0,4.0,31.0,51.0,2018,5,19,Summer,2,416.052
27.69,24.286,17.0,156.8,59.0,7.0,47.0,39.4,2018,5,20,Summer,2,378.176
31.16,20.346,24.15,135.786,60.0,2.0,31.0,37.0,2018,5,21,Summer,2,341.442
49.17,20.385,16.85,143.05,59.0,4.0,45.0,41.64,2018,6,22,Rainy,1,379.095
30.32,26.023,17.45,138.45,61.0,6.0,23.0,24.4,2018,6,23,Rainy,1,326.643
31.52,31.195,20.6,124.569,57.0,0.0,16.0,30.4,2018,6,24,Rainy,1,311.284
27.51,29.299,20.75,143.062,45.0,3.0,29.0,32.6,2018,6,25,Rainy,1,330.221
28.5,23.39,20.0,125.862,66.0,5.0,31.0,23.4,2018,7,26,Rainy,1,323.152
30.99,33.31,21.75,136.45,78.0,3.0,41.0,33.5,2018,7,27,Rainy,1,378.0
33.67,31.353,22.65,189.4,62.0,9.0,11.0,23.4,2018,7,28,Rainy,1,382.47299999999996
33.66,32.057,16.3,165.6,65.0,2.0,24.0,29.0,2018,7,29,Rainy,1,367.61699999999996
39.53,22.07,17.2,126.9,57.0,3.0,4.0,25.3,2018,7,30,Rainy,1,295.0
26.34,20.936,18.3,106.0,58.0,8.0,9.0,29.3,2018,8,31,Rainy,1,275.876
38.65,27.817,29.0,147.788,66.0,2.0,13.0,23.0,2018,8,32,Rainy,1,347.255
31.32,33.509,16.4,169.85,56.0,7.0,28.0,20.0,2018,8,33,Rainy,1,362.079
35.34,30.097,18.55,223.1,44.0,2.0,79.0,24.8,2018,8,34,Rainy,1,456.887
27.7,17.799,19.5,165.1,54.0,4.0,36.0,17.0,2018,9,35,Rainy,1,341.099
34.16,20.522,17.6,223.2,63.0,0.0,43.0,21.7,2018,9,36,Rainy,1,423.18199999999996
40.16,20.918,19.25,253.55,71.0,6.0,42.0,17.4,2018,9,37,Rainy,1,470.278
33.34,32.186,17.2,222.162,64.0,3.0,47.0,28.0,2018,9,38,Rainy,1,446.88800000000003
36.84,35.993,27.25,320.35,54.0,2.0,67.0,17.0,2018,9,39,Rainy,1,560.433
30.52,31.639,15.8,262.95,60.0,3.0,63.0,9.1,2018,10,40,Autumn,0,476.009
32.66,28.57,20.65,239.5,87.0,7.0,56.0,22.0,2018,10,41,Autumn,0,493.38
32.85,27.164,13.1,241.0,50.0,9.0,67.0,25.0,2018,10,42,Autumn,0,465.11400000000003
32.0,30.677,20.15,300.725,71.0,6.0,116.0,14.8,2018,10,43,Autumn,0,591.352
46.65,21.431,15.55,240.1,42.2,3.0,46.0,12.3,2018,11,44,Autumn,0,427.231
39.99,19.789,34.55,255.85,70.0,5.0,93.0,8.9,2018,11,45,Autumn,0,527.079
37.34,26.113,28.0,236.1,63.0,5.0,100.0,7.4,2018,11,46,Autumn,0,502.953
43.33,29.494,23.4,201.0,54.0,6.0,67.0,11.3,2018,11,47,Autumn,0,435.524
31.83,34.568,19.05,253.9,55.0,6.0,70.0,24.5,2018,12,48,Winter,3,494.848
23.49,21.509,15.7,222.6,60.0,0.0,56.0,9.0,2018,12,49,Winter,3,408.299
23.34,21.913,19.7,249.7,51.0,5.0,98.0,10.8,2018,12,50,Winter,3,479.45300000000003
37.68,17.239,13.8,240.6,53.0,9.0,58.0,9.0,2018,12,51,Winter,3,438.31899999999996
45.03,33.145,18.3,349.85,67.0,10.0,96.0,10.3,2018,12,52,Winter,3,629.625
41.0,31.263,23.55,289.65,51.0,2.0,54.0,11.0,2019,1,1,Winter,3,503.46299999999997
35.66,28.404,20.2,354.8,79.2,6.0,50.0,6.0,2019,1,2,Winter,3,580.264
51.19,52.069,27.95,384.05,69.0,3.0,121.0,13.0,2019,1,3,Winter,3,721.259
38.35,53.243,22.5,478.3,69.0,9.0,93.0,9.0,2019,1,4,Winter,3,772.393
52.18,53.571,30.65,348.562,64.0,5.0,131.0,13.7,2019,2,5,Winter,3,698.663
32.35,47.251,28.7,297.45,50.0,4.0,62.0,15.7,2019,2,6,Winter,3,537.451
35.01,36.772,31.8,249.912,78.4,0.0,35.0,16.6,2019,2,7,Winter,3,483.494
22.35,24.635,16.4,204.0,71.0,3.0,31.0,13.3,2019,2,8,Winter,3,385.685
26.68,18.414,20.85,187.8,49.0,6.0,57.0,23.9,2019,3,9,Summer,2,389.644
30.51,16.569,21.7,231.9,72.0,5.0,26.0,32.6,2019,3,10,Summer,2,436.279
43.51,22.953,20.2,251.45,66.0,5.0,88.0,32.0,2019,3,11,Summer,2,529.113
35.99,20.661,13.95,196.6,68.4,2.0,74.0,48.0,2019,3,12,Summer,2,459.601
